PURPOSE CODE,ACTIVITY CODE,DESCRIPTION,,
,41050.01,"Flood prevention/control, activity unspecified or does not fit elsewhere in group",,
,41050.02,Erosion control,,
,41050.03,River or sea flood control,,
41081,,Environmental education/ training,,
,41081.01,All environmental education/training activities,,
41082,,Environmental research,,
,41082.01,All environmental research activities,,
,41082.02,Environmental impact assessments,,
Women,,,,
42010,,Women in development,,
,42010.01,"Women in development, activity unspecified or does not fit elsewhere in group",,
,42010.02,Multisectoral women in business (WIB) projects and programs,,
,42010.03,"Institutional capacity building, women in development (WID)",,
,42010.04,Promotion of and support to WID groups and networks,,
,42010.05,"Conferences, seminars, etc.",,
Other,,,,
43010,,Multisector aid,,
,43010.01,All unspecified multisector aid activities,,
16050,,Multisector aid for social services,,
,16050.01,Basic multisector social services activities,,
43030,,Urban development and management,,
,43030.01,"Urban development and management, activity unspecified or does not fit elsewhere in this group",,
,43030.02,Integrated urban development projects,,
,43030.03,"Urban development, planning and management",,
,43030.04,Urban renewal and urban housing,,
,43030.05,Urban infrastructure and services,,
,43030.06,Urban land information systems,,
43040,,Rural development,,
,43040.01,"Rural development, activity unspecified or does not fit elsewhere in this group",,
,43040.02,Integrated rural development projects,,
,43040.03,"Rural development, planning and management",,
,43040.04,Land use planning and management,,
,43040.05,Rural infrastructure and services,,
,43040.06,Land settlement and resettlement activities,,
,43040.07,Rural/urban integration activities,,
,43040.08,Geographical information systems,,
43050,,Non-agricultural alternative development,,
,43050.01,"Non-agricultural alternative development, activity unspecified or does not fit elsewhere in group",,
,43050.02,Non-agricultural projects to reduce illicit drug cultivation,,
43081,,Multisector education/training,,
,43081.01,Multisector education/training activities,,
43082,,Research/scientific institutions,,
,43082.01,Research/scientific institutions activities,,
Commodity Aid And General Program Assistance,,,,
General Budget Support,,,,
51010,,General budget support,,
,51010.01,"General budget support, activity unspecified or does not fit elsewhere in this group",,
,51010.02,Un-earmarked contributions to the government budget,,
,51010.03,Support for implementation of macroeconomic reforms,,
,51010.04,Balance of payments support,,
,51010.05,General program assistance,,
Development Aid/Food Security Assistance,,,,
52010,,Food aid/Food security programs,,
,52010.01,"Food aid/Food security programs, activity unspecified",,
,52010.02,Food supply,,
,52010.03,Food security programs,,
Other Commodity Assistance,,,,
53030,,Import support (capital goods),,
,53030.01,"Import support (capital goods), activity unspecified or does not fit elsewhere in group",,
,53030.02,"Capital goods and services, import support",,
,53030.03,Lines of credit,,
53040,,Import support (commodities),,
,53040.01,"Import support (commodities), activity unspecified or does not fit elsewhere in group",,
,53040.02,Commodities,,
,53040.03,General goods and services,,
,53040.04,Oil imports,,
53050,,Export Support,,
,53050.01,All export support activities,,
Action Relating to Debt,,,,
60010,,Action relating to debt,,
,60010.01,"Actions relating to debt, activity unspecified or does not fit elsewhere in group",,
,60010.02,Debt for development swap,,
,60010.03,Other debt swap,,
,60010.04,Training in debt management,,
60020,,Debt forgiveness,,
,60020.01,All debt forgiveness activities,,
,60010.02,Debt buy-back,,
60030,,Relief of multilateral debt,,
,60030.01,All relief of multilateral debt activities,,
60040,,Rescheduling and refinancing,,
,60040.01,All rescheduling and refinancing activities,,
Humanitarian Aid,,,,
70000,,"Emergency Assistance and Reconstruction, combinations of purposes",,
Emergency Response,,,,
72000,,"Emergency Response, combination of purposes",,
72010,,Material relief assistance and services,,
,72010.01,All non-food relief items and assistance,,
72020,,Emergency Health Services/Support,,
,72020.01,All emergency health services/support activities,,
72030,,Water and Sanitation Services/Support,,
,72030.01,All water and sanitation services/support activities,,
72040,,Emergency food aid,,
,72040.01,All emergency food aid items or activities,,
72050,,Relief co-ordination; protection and support services,,
,72050.01,Relief co-ordination; protection and support services,,
Reconstruction Relief,,,,
73010,,Reconstruction relief and rehabilitation,,
,73010.01,All reconstruction relief and rehabilitation activities,,
,73010.02,Recovery,,
,73010.03,Transitional Shelters,,
,73010.04,Reconstruction Assistance,,
,73010.05,Damage and Loss Assessment,,
Disaster Prevention and Preparedness,,,,
74010,,Disaster prevention and preparedness,,
,74010.01,All disaster prevention and preparedness activities,,
,74010.02,Disaster risk assessment and monitoring,,
,74010.03,"Institutional consensus, awareness and capacity building",,
,74010.04,"Knowledge, innovation and education",,
,74010.05,Disaster risk financing,,
,74010.06,Strengthening early warning systems,,
,74010.07,Protecting critical infrastructure,,
,74010.08,Response preparedness and sustainable recovery,,
,74010.09,Macroeconomic Analysis,,
Administrative costs of Donors,,,,
91010,,Administrative costs,,
,91010.01,All items relating to otherwise unspecified administrative costs of donors,,
Support to Non-Governmental Organizations and Government Organizations,,,,
92000,,"Support to non-governmental organizations and government organizations, combination of purposes",,
92005,,"Support to non-governmental organizations and government organizations, purpose unspecified or does not fit under any other applicable codes",,
,92005.01,"Support to non-governmental organizations and government organizations, activity unspecified or does not fit under any other applicable codes",,
92010,,Support to national NGOs,,
,92010.01,All support to national NGOs activities,,
92020,,Support to international NGOs,,
,92020.01,All support to international NGOs activities,,
92030,,Support to local and regional NGOs,,
,92030.01,All support to local and regional NGOs activities,,
Refugees in Donor Countries,,,,
93010,,Refugees,,
,93010.01,Refugees in Donor Countries,,
Unallocated/ Unspecified,,,,
99810,,Sectors not specified,,
,99810.01,All other activities when sector is not specified,,
99820,,Promotion of development awareness,,
,99820.01,All promotion of development awareness activities,,
